self-play次数,loss,entropy
14,2.944387435913086,2.191380262374878
15,2.9258837699890137,2.1837520599365234
16,2.87552547454834,2.1623342037200928
17,2.737225294113159,2.1223106384277344
18,2.6379032135009766,1.971548318862915
19,2.5778660774230957,1.866957664489746
20,2.543610095977783,1.8609131574630737
21,2.4374053478240967,1.816221833229065
22,2.43410325050354,1.8038092851638794
23,2.337306022644043,1.7797824144363403
24,2.3054914474487305,1.7933244705200195
25,2.2351160049438477,1.7534921169281006
26,2.325129270553589,1.770844578742981
27,2.295795440673828,1.7629642486572266
28,2.282255172729492,1.7547264099121094
29,2.3323209285736084,1.7568734884262085
30,2.3467915058135986,1.7745734453201294
31,2.3952038288116455,1.7706691026687622
32,2.39290714263916,1.7673674821853638
33,2.332082986831665,1.720361590385437
34,2.4214096069335938,1.7705482244491577
35,2.387195348739624,1.7569864988327026
36,2.386765956878662,1.7674593925476074
37,2.2903852462768555,1.7712575197219849
38,2.30584454536438,1.7569196224212646
39,2.2613298892974854,1.7543065547943115
40,2.4221513271331787,1.7603874206542969
41,2.4023241996765137,1.8324674367904663
42,2.282292366027832,1.7429211139678955
43,2.2530040740966797,1.7378203868865967
44,2.20983624458313,1.7178431749343872
45,2.2896952629089355,1.7330436706542969
46,2.2628180980682373,1.7383493185043335
47,2.2463936805725098,1.733031988143921
48,2.302244186401367,1.7464269399642944
49,2.3423421382904053,1.7194061279296875
50,2.426513910293579,1.633889079093933
